Formula;Rank;Target;TargetMin;Complexity
(((X[0] * (X[0] + W[0])) - W[1]) * W[1]);0;3.297185066729386;3.297185066729386;4.0
((X[0] * W[0]) - W[1]);1;256.5315243429177;256.5315243429177;2.0
((X[0] * (X[0] + W[0])) * W[1]);2;16.05046593918493;16.05046593918493;3.0
(((X[0] * (X[0] + W[0])) - W[1]) * W[1]);3;3.297185066748367;3.297185066748367;4.0
((X[0] * W[0]) - W[1]);4;256.53152434291775;256.53152434291775;2.0
((X[0] * W[0]) - W[1]);5;256.53152434291775;256.53152434291775;2.0
((X[0] * W[0]) - W[1]);6;256.53152434291775;256.53152434291775;2.0
(((X[0] * (X[0] + W[0])) - W[1]) * W[1]);7;3.297185066766224;3.297185066766224;4.0
((X[0] + W[0]) - W[1]);8;256.54863444610226;256.54863444610226;2.0
(((X[0] * (X[0] + W[0])) * W[1]) * W[1]);9;16.050465939106157;16.050465939106157;4.0
((X[0] + W[0]) * W[1]);10;265.53140371475047;265.53140371475047;2.0
(sinc(W[1]) - W[1]);11;264.59506284056596;264.59506284056596;3.0
((X[0] * ((atg(X[0]) * (X[0] + W[0])) - W[1])) + W[1]);12;73.11124924058123;73.11124924058123;7.0
((X[0] + W[0]) * W[1]);13;266.15892680173687;266.15892680173687;2.0
(sin((X[0] * W[0])) * W[1]);14;80.88225145460403;80.88225145460403;4.0
(((X[0] * (X[0] / W[0])) - W[1]) - W[1]);15;139.78992107338289;139.78992107338289;4.0
((X[0] * W[0]) * W[1]);16;272.5834050447206;272.5834050447206;2.0
(((X[0] * (X[0] * (X[0] + W[0]))) - W[1]) * W[1]);17;144.75463905545413;144.75463905545413;5.0
((X[0] * W[0]) * W[1]);18;272.5834050447207;272.5834050447207;2.0
(((X[0] * (X[0] * W[0])) - W[1]) * W[1]);19;145.6214656332951;145.6214656332951;4.0
((((X[0] * (X[0] * (X[0] + W[0]))) - W[1]) * W[1]) * W[1]);20;146.32624205481693;146.32624205481693;6.0
(((X[0] * W[0]) - W[1]) * W[1]);21;273.1632420575125;273.1632420575125;3.0
((gauss(X[0]) - W[0]) - W[1]);22;268.3702886366353;268.3702886366353;4.0
((X[0] * sin((X[0] + W[0]))) * (X[0] * W[0]));23;190.2927133819438;190.2927133819438;6.0
sin(((X[0] / W[0]) - W[1]));24;297.567069420626;297.567069420626;4.0
((((X[0] * (X[0] + W[0])) / 2) - W[1]) * W[1]);25;271.6018306563428;271.6018306563428;5.0
(((X[0] * ((X[0] + W[0]) + W[0])) - W[1]) * W[1]);26;273.1886164165986;273.1886164165986;5.0
((X[0] * (X[0] * sin(((X[0] * (X[0] * (X[0] / W[0]))) - W[1])))) - W[1]);27;214.5712801897702;214.5712801897702;9.0
sin((((X[0] * (X[0] + W[0])) - W[1]) + W[1]));28;308.8386427267992;308.8386427267992;6.0
(((X[0] * (X[0] * sin(((X[0] * (X[0] * (X[0] / W[0]))) - W[1])))) - atg(W[1])) * W[1]);29;225.37446576603594;225.37446576603594;12.0
